Date,Close,High,Low,Open,Volume
10-02-2020,638.1784668,642.5793841,626.9983339,634.7999573,15142476
11-02-2020,645.8023682,651.7813801,642.3794057,643.4240695,13999816
12-02-2020,653.6039429,655.6266213,646.8025302,647.3137638,13533565
13-02-2020,655.3153687,656.9157184,650.1809552,656.9157184,13565659
14-02-2020,661.2944946,667.4513164,645.957902,656.6935109,21227841
17-02-2020,657.1380005,669.5406078,655.3820965,661.916794,13149130
18-02-2020,652.3147583,656.0933406,647.8693883,656.0933406,11127161
19-02-2020,668.4959106,669.6739319,655.7376839,657.6269453,14084409
20-02-2020,660.5609741,670.3630205,659.6052154,665.4731253,16892268
24-02-2020,642.3349609,656.5823786,639.9344656,653.359482,21370214
25-02-2020,629.6433716,645.2021664,626.7982921,645.2021664,27745062
26-02-2020,618.7965698,627.8429227,616.7294984,626.7982591,29362748
27-02-2020,616.2405396,619.5967932,608.5722142,617.0184288,25054993
28-02-2020,590.6351929,603.2378672,589.0126463,602.304305,39315769
02-03-2020,585.0784912,608.5722689,578.3881799,602.3931912,29500495
03-03-2020,596.9475098,601.8596603,587.6788947,591.1018566,27398798
04-03-2020,595.5473022,601.8152847,581.4109874,601.0151395,22105261
05-03-2020,582.8557739,603.6601436,580.5663805,601.1040351,30510390
06-03-2020,565.0075073,572.6313802,551.7158502,564.5629822,33734039
09-03-2020,495.2817688,551.6713806,486.7688757,551.249052,88187018
11-03-2020,512.7965088,523.8654794,492.547799,492.547799,59578576
12-03-2020,472.5436707,489.4360999,466.1867834,482.32352,55970485
13-03-2020,491.3476257,506.773063,418.9324355,443.6487149,73297403
16-03-2020,451.5170288,479.9674368,446.7604618,471.4545436,38482258
17-03-2020,448.0941162,471.2100756,445.9603363,465.5422022,45445979
18-03-2020,430.5348511,460.4967038,427.2008238,455.7845893,44730415
19-03-2020,407.9523926,429.8681073,396.616674,409.0192827,61404010
20-03-2020,452.5173035,460.0522128,413.4201873,417.6432951,63360475
23-03-2020,392.9936218,422.3108823,389.2594924,407.2854892,40670949
24-03-2020,419.3769836,431.201679,398.2169931,413.4201686,45734887
